pr_gene_id,A375,A549,BT20,HCT116,HS578T,HT29,LOVO,MCF7,MDAMB231,PC3,RKO,SKBR3,SKMEL28,SW620,SW948,VCAP
8553,-0.903,0.1414,0.6215765,-0.83345,0.26524997,0,-0.0762,0.5594103,-0.038200006,-0.3592114,0.2244,-0.26275,-0.894,-0.85799795,-0.5026177,1.1551
622,1.3936,-0.9409,0.40623102,-0.47654998,-0.5874,0.1299,-0.3767,0.25413084,-0.45240003,-0.1122088,1.0064,-0.55585,0.7488,0.5366967,1.1405523,0.1757
9467,-0.55009997,-0.8434,-0.5704298,-0.29000002,-0.96274996,0.1896,0.8424,0.5551545,0.11010001,-0.2457841,-1.0727,0.273,-1.0433,1.9217796,-0.5751769,0.1385
5525,0.56545,0.6526,-0.24365318,0.1485,0.8254,0.4563,-0.04,0.002007559,-0.96379995,0.04237974,0.0313,1.0174,0.6745,0.74673295,1.2414864,-0.0868
256364,-1.9313501,-0.5761,0.8171997,0.099649996,1.23305,-1.3138,-1.4423,2.5455852,0.49799997,-0.17897336,0.2262,0.40265,0.7186,0.33668754,0.43951547,-0.4623
332,1.0912,1.0036,-0.58018,0.58715004,-1.4986501,0.4732,0.2934,0.19978005,-0.56605,-0.29651618,1.348,-0.13945,-0.2113,0.8580016,1.0773227,0.1037
2058,-0.49995,-0.3692,-0.3764503,-0.5248,-0.45355,-1.2659,-1.6107,0.7326895,-0.75275004,-0.2495389,1.2149,0.41605002,1.2882,0.4021461,0.65305114,-0.2298
7849,0.46789998,-2.3054,-0.28497717,-0.13415,0.67365,-0.5612,-0.3577,-0.8301294,0.08805001,-0.17105404,-0.4212,0.78034997,-0.6865,0.5005038,1.4718744,-0.1365
23244,2.0352,-0.1807,0.84720606,-0.4832,-2.4957001,0.5735,1.7441,0.3006336,-1.3522999,1.1207834,1.5775,0.9263,1.3536,0.82306165,0.88473,0.7154
7494,0.0664,0.2068,-0.2804721,-1.5084,-1.2518001,-0.2663,-1.3127,0.041068792,0.5461,0.53015184,0.3552,0.3042,-0.4096,-0.9218792,0.4713668,-0.5624
4836,-0.35570002,0.4214,1.1474835,0.56585,0.35025,-0.1464,-0.0068,-1.6268027,0.052699983,0.28896263,-0.5272,0.1519,2.6208,0.06682727,0.004863158,-0.6202
23647,-0.5195,-0.2913,-0.32174116,-0.4939,-1.1932501,0.414,-0.7269,-1.018436,-0.4717,0.11027698,1.5951,0.58975,0.9102,0.07648196,0.32113415,0.2184
10617,-0.28405002,-0.2221,-1.0028555,-0.082700014,0.0546,0.1074,-0.4781,-0.09886763,-1.49485,-0.2800718,0.7612,-0.61635,0.8788,-0.31944185,-0.4243998,0.0892
2184,-1.2290001,0.0551,1.4403809,0.055000007,-0.70425,-0.288,-0.7475,0.96298695,-0.035349995,0.1601095,1.0919,-0.98405,0.05,-0.60642254,-0.11186136,2.9396
5355,0.12695,-1.0763,1.2085793,0.6059,0.25704998,-0.4264,0.3101,-0.22402753,-0.30555,0.32666677,-0.7725,-0.31129998,-1.1306,0.6823667,-0.15451424,-0.3003
